Source,club1_name,Target,club2_name,club1_wins,club2_wins,draws
2292,Sevilla,2163,Roma,1,0,0
2292,Sevilla,2388,Sampdoria,0,1,0
2292,Sevilla,999,Fiorentina,2,0,0
2292,Sevilla,2037,Parma,0,1,1
2292,Sevilla,1576,Lille,1,2,0
2292,Sevilla,2068,Paris Saint Germain,0,2,0
2292,Sevilla,1645,Lyon,1,0,1
2292,Sevilla,2173,Rennes,2,0,0
2292,Sevilla,398,B Dortmund,1,1,2
2292,Sevilla,403,B M'gladbach,3,1,0
2292,Sevilla,469,B Munich,0,2,1
2292,Sevilla,1054,Freiburg,2,0,0
2292,Sevilla,3050,Mainz,1,0,1
2292,Sevilla,2260,Schalke,1,0,1
2292,Sevilla,2682,Stuttgart,2,0,1
2192,Sociedad,3123,Villarreal,10,17,15
2192,Sociedad,2159,Real Betis,16,16,15
2192,Sociedad,3427,Granada,9,5,4
2192,Sociedad,207,Athletic Bilbao,18,14,19
2192,Sociedad,3251,Levante,7,10,9
2192,Sociedad,690,Celta Vigo,18,16,14
2192,Sociedad,3216,Cadiz,5,0,1
2192,Sociedad,2697,Valencia,15,20,15
2192,Sociedad,3480,Getafe,7,12,7
2192,Sociedad,2975,Alaves,10,9,4
2192,Sociedad,2676,Valladolid,15,7,11
2192,Sociedad,3496,Huesca,3,0,2
